spectrum,wavelength_nm,T_exp,T_fit,RMSE,material_1_name,material_1_thickness_nm,material_1_shape,material_1_volume_fraction,inclusion_1_name,inclusion_1_shape,inclusion_1_volume_fraction,material_2_name,material_2_thickness_nm,material_2_shape,material_2_volume_fraction,inclusion_2_name,inclusion_2_shape,inclusion_2_volume_fraction,material_3_name,material_3_thickness_nm,material_3_shape,material_3_volume_fraction,inclusion_3_name,inclusion_3_shape,inclusion_3_volume_fraction
36,500.4040718028992,0.1405990016638935,0.1197505815431126,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,500.8313450101691,0.13929256923498767,0.11991251843946459,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,501.25860749068386,0.13998369122044033,0.12007824041096736,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,501.6858592444434,0.14054927302100162,0.12024663348821096,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,502.11310027144776,0.1401494927923118,0.12041639783232629,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,502.540330571697,0.1389920424403183,0.12059126464541228,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,502.967550145191,0.13981603153745073,0.12076612096631179,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,503.3947589919298,0.13896103896103895,0.12094645299915954,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,503.82195711191343,0.1372093023255814,0.12112781694677359,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,504.24914450514194,0.13903880750449757,0.12131224269454736,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,504.6763211716152,0.14005102040816325,0.12150013258595073,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,505.10348711133327,0.1403909621731404,0.12168867699784841,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,505.5306423242962,0.14104836667510762,0.12188311204656413,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,505.95778681050393,0.14307304785894207,0.12207758088326844,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,506.3849205699565,0.14189357981513864,0.1222768002705439,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,506.81204360265383,0.14260912698412698,0.1224778491537117,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,507.239155908596,0.14141910139945985,0.12268124284994585,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,507.666257487783,0.14087253229344382,0.12288889164168658,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,508.0933483402148,0.13850616388687453,0.12309660579130254,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,508.5204284658914,0.13945660014426545,0.12331075367509056,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,508.9474978648129,0.13841740377719342,0.1235251033570391,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,509.3745565369791,0.13857142857142857,0.12374348174596904,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,509.8016044823902,0.13829031494198438,0.12396448606741274,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,510.2286417010461,0.13983050847457626,0.12418655586392272,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,510.6556681929468,0.13868101028999064,0.12441184991722212,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,511.08268395809233,0.13947551636110467,0.12463725099032676,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,511.5096889964827,0.13995849665667512,0.12486469108415596,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,511.93668330811784,0.1403709640485459,0.12509254743507242,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,512.3636668929978,0.1405540417801998,0.12532201337235319,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,512.7906397511226,0.14091834426600316,0.12555313819258498,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,513.2176018824922,0.14028776978417265,0.1257848510656144,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,513.6445532871066,0.14098287747387148,0.12602006578662792,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,514.0714939649658,0.14077348066298342,0.12625541981618751,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,514.4984239160699,0.13952977367611513,0.12649439019016723,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,514.9253431404188,0.13978260869565218,0.12673468143764194,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,515.3522516380125,0.1394997843898232,0.12697718289135443,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,515.7791494088509,0.1387395138739514,0.12722325580927515,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,516.2060364529343,0.13890072432893055,0.12746953024483293,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,516.6329127702625,0.1394464398901331,0.12772224109098942,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,517.0597783608354,0.13863255033557048,0.12797514751561206,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,517.4866332246531,0.13949124270225188,0.1282327493338983,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,517.9134773617158,0.13995859213250517,0.12849318618546965,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,518.3403107720231,0.13964521452145215,0.1287559134167994,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,518.7671334555754,0.14055158324821246,0.1290247633400289,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,519.1939454123724,0.14030819140308193,0.1292938656174441,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,519.6207466424142,0.13887204366282596,0.12957104162999206,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,520.0475371457009,0.14012482383732636,0.12984948820109346,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,520.4743169222323,0.14048760991207035,0.1301372422924339,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,520.9010859720087,0.14088729016786572,0.1304338025939558,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,521.3278442950298,0.14285714285714285,0.1307341488915135,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,521.7545918912957,0.14421553090332806,0.13105535664270992,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,522.1813287608065,0.1443157274690752,0.13137702041588004,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,522.6080549035621,0.14561780206910013,0.13171557827060137,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,523.0347703195624,0.14573643410852713,0.1320595461505211,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,523.4614750088076,0.14601769911504425,0.1324115223276239,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,523.8881689712977,0.14587697581413064,0.1327753274465655,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,524.3148522070325,0.14612909331819043,0.1331402173745002,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,524.7415247160121,0.1452126662919243,0.13352136574700324,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,525.1681864982365,0.14581391012493009,0.1339032492687231,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,525.5948375537059,0.14479050797182055,0.13429461847437993,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,526.02147788242,0.14586022496773005,0.13469139330619534,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,526.4481074843789,0.14542453695213645,0.1350919943764591,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,526.8747263595826,0.1458029197080292,0.13550108290703547,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,527.3013345080311,0.14556962025316456,0.1359110534396805,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,527.7279319297245,0.14714822099052388,0.13632912751830797,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,528.1545186246627,0.1475497159090909,0.13674884217061067,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,528.5810945928457,0.14870347503968953,0.13717227080264813,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,529.0076598342735,0.14990345796033,0.1375990443521413,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,529.4342143489462,0.15023474178403756,0.1380271891492962,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,529.8607581368636,0.14873746108612937,0.13845828271028968,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,530.2872911980259,0.14934842249657065,0.1388903844618623,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,530.7138135324329,0.1482612383375742,0.13933219793558074,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,531.1403251400848,0.14769282586729537,0.1397773410146547,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,531.5668260209816,0.14729458917835672,0.140232138494831,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,531.993316175123,0.1481542790928654,0.1406998374273118,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,532.4197956025095,0.14747906060108393,0.14116969001266869,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,532.8462643031405,0.14825106243870545,0.14165837549995683,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,533.2727222770166,0.1492633964707787,0.1421484252843008,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,533.6991695241373,0.15228673370094065,0.14265115682197796,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,534.125606044503,0.15374677002583978,0.14316073600853257,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,534.5520318381134,0.15597362920083616,0.14367635306680016,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,534.9784469049687,0.156912773082443,0.14420384518281776,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,535.4048512450687,0.15566112430720508,0.14473296458422907,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,535.8312448584136,0.15509948300172333,0.14527586329303274,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,536.2576277450032,0.15457364341085272,0.145821368628445,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,536.6839999048377,0.1533487297921478,0.1463748657074225,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,537.1103613379171,0.15295197308045275,0.14693506954164043,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,537.5367120442412,0.15541362530413624,0.14749888210904932,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,537.9630520238102,0.1551905981618201,0.1480720616080074,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,538.3893812766239,0.15600179829162295,0.1486472144858849,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,538.8156998026825,0.15738534842167956,0.1492302888367055,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,539.242007601986,0.15810510732790525,0.14981675105445133,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,539.6683046745342,0.15758468335787923,0.15040764147700428,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,540.0945910203272,0.15885797950219618,0.1510035973255429,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,540.5208666393651,0.15916703072666374,0.15160335588842624,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,540.9471315316478,0.1591431857389304,0.15222618927798037,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,541.3733856971752,0.16025641025641027,0.15285140929345364,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,541.7996291359475,0.16129488266892847,0.1535042131203301,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,542.2258618479647,0.16191546131161355,0.15417045576167052,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,542.6520838332266,0.1623349548297429,0.1548486396816139,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,543.0782950917334,0.16331901925474443,0.155548530916443,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,543.5044956234849,0.16464590796362635,0.15625149283345494,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,543.9306854284813,0.16512008733624453,0.15697660656888515,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,544.3568645067226,0.1652244456462953,0.15770590838540077,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,544.7830328582086,0.16646497243512168,0.15844536124898873,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,545.2091904829393,0.16677794098010415,0.159193143410328,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,545.635337380915,0.16551906779661016,0.1599451530628936,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,546.0614735521355,0.1654363300817295,0.16070329885444082,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,546.4875989966008,0.16644823066841416,0.1614651258296385,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,546.9137137143109,0.16584287200832465,0.1622261130015562,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,547.3398177052658,0.16578710258720555,0.16298997051874772,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,547.7659109694655,0.16666666666666666,0.16375093598913987,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,548.1919935069101,0.16780561883067577,0.16450807823722066,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,548.6180653175994,0.16880341880341881,0.16526672486939403,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,549.0441264015336,0.17032967032967034,0.1660081073665129,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,549.4701767587126,0.1720496894409938,0.16675311395553036,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,549.8962163891365,0.1726689689195856,0.1674783148742852,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,550.3222452928051,0.17399312377210216,0.16819804222289758,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,550.7482634697185,0.174330900243309,0.1689195684782427,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,551.1742709198768,0.1746319092445088,0.1696415416760373,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,551.6002676432798,0.17618819011041767,0.17036705348672693,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,552.0262536399277,0.17755783448604817,0.17112321404552186,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,552.4522289098205,0.1783739263442758,0.17188386969164218,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,552.878193452958,0.1783335281056445,0.17266352470218002,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,553.3041472693403,0.1794247274414289,0.1734571512904091,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
36,553.7300903589676,0.17944890929965557,0.17426025111186622,0.00628431488065793,Cu,31.95583487302065,sphere,1.0,,,,Cu2O,0.1,sphere,1.0,Cu,sphere,0.0,CuO,0.001,sphere,1.0,,,
